srcStateName,srcDistrictName,Court_Efficiency_Index_PCA_Absolute
Andhra Pradesh,Visakapatnam,0.48193223093685683
Andhra Pradesh,Vizianagaram,0.5305640149257388
Andhra Pradesh,West Godavari,0.5057604245897531
Uttar Pradesh,Prayagraj,0.32515333282831627
Uttar Pradesh,Bareilly,0.37993583193862623
Uttar Pradesh,Gorakhpur,0.29314249501525125
Uttar Pradesh,Hardoi,0.37986029319449705
Uttar Pradesh,Chitrakoot,0.4010516912652669
Uttar Pradesh,Meerut,0.44989977779946416
Uttar Pradesh,Bahraich,0.3614454735514699
Uttar Pradesh,Ghaziabad,0.4500407922920381
Uttar Pradesh,Fatehpur,0.32658146149802747
Uttar Pradesh,Lakhimpur Kheri,0.384413618977001
Uttar Pradesh,Shravasti,0.37935453922640827
Uttar Pradesh,Jaunpur,0.2923637883957799
Uttar Pradesh,Pilibhit,0.393350363774927
Uttar Pradesh,Mainpuri,0.32042027143924173
Uttar Pradesh,Ambedkar Nagar,0.34428848202038664
Uttar Pradesh,Sitapur,0.3100460405777604
Uttar Pradesh,Auraiya,0.3348648326497175
Uttar Pradesh,Budaun,0.3788822587608419
Uttar Pradesh,Kanpur Nagar,0.38708858347654956
Uttar Pradesh,Gautam Buddha Nagar,0.4551859247472614
Uttar Pradesh,Ballia,0.2876514072580226
Uttar Pradesh,Bhadohi SR Nagar,0.36680156067548164
Uttar Pradesh,Lalitpur,0.3451676838588628
Uttar Pradesh,Lucknow,0.35447939293539954
Uttar Pradesh,Etah,0.3539442040494888
Uttar Pradesh,Muzaffarnagar,0.3081550629155574
Uttar Pradesh,Varanasi,0.44399223680395306
Uttar Pradesh,Ghazipur,0.330331734325113
Uttar Pradesh,Firozabad,0.3123983048929148
Uttar Pradesh,Agra,0.4215117331485282
Uttar Pradesh,Pratapgarh,0.35504250996552933
Uttar Pradesh,Etawah,0.3510118924728282
Uttar Pradesh,Kushinagar,0.31957848670366795
Uttar Pradesh,Amroha,0.40615660009004134
Uttar Pradesh,Barabanki,0.3406258127424019
Uttar Pradesh,Kaushambi,0.3288078325860418
Uttar Pradesh,Mahoba,0.4329634767478494
Uttar Pradesh,Banda,0.3658531055808014
Uttar Pradesh,Kasganj,0.4117723850018655
Uttar Pradesh,Deoria,0.3005831843354515
Uttar Pradesh,Mau,0.3059078224072054
Uttar Pradesh,Aligarh,0.3285574432878281
Uttar Pradesh,Azamgarh,0.3958115100597512
Uttar Pradesh,Baghpat,0.3673911804783137
Uttar Pradesh,Basti,0.30220636466666895
Uttar Pradesh,Bijnor,0.39681083773704195
Uttar Pradesh,Bulandshahr,0.3257249867016746
Uttar Pradesh,Ayodhya,0.3163793727042639
Uttar Pradesh,Gonda,0.35288225754529223
Uttar Pradesh,Kanpur Dehat,0.38136947914908104
Uttar Pradesh,Maharajganj,0.30858090445068564
Uttar Pradesh,Mathura,0.3814034123366275
Uttar Pradesh,Moradabad,0.40493276279807544
Uttar Pradesh,Raebareli,0.339214565383291
Uttar Pradesh,Rampur,0.3506445426866803
Uttar Pradesh,Saharanpur,0.4031080854864316
Uttar Pradesh,Shahjahanpur,0.3883481012485934
Uttar Pradesh,Siddharthnagar,0.2985430680080082
Uttar Pradesh,Sonbhadra,0.3222946653599704
Uttar Pradesh,Sultanpur,0.2655714105559886
Uttar Pradesh,Unnao,0.3315475779346405
Uttar Pradesh,Farrukhabad,0.4179178804424494
Uttar Pradesh,Hamirpur,0.3999938003337652
Uttar Pradesh,Hathras,0.3752712639259589
Uttar Pradesh,Jhansi,0.3403441177254501
Uttar Pradesh,Balrampur,0.38406498031454994
Uttar Pradesh,Mirzapur,0.33679422143733384
Uttar Pradesh,Kannauj,0.40408457117222074
Uttar Pradesh,Jalaun,0.37339891794741753
Uttar Pradesh,Santkabir Nagar,0.38645399010913783
Uttar Pradesh,Hapur,0.40813885945691747
Uttar Pradesh,Sambhal at Chandausi,0.3906624566531802
Uttar Pradesh,Chandauli,0.36641894368321676
Uttar Pradesh,Shamli at Kairana,0.5226057715642175
West Bengal,Malda,0.3986419818247263
West Bengal,Hooghly,0.31750714252209145
West Bengal,Calcutta,0.36131017737826726
West Bengal,Jalpaiguri,0.3007535960604819
West Bengal,Coochbehar,0.35934852575900766
West Bengal,Paschim Medinpur,0.346479532332848
West Bengal,Birbhum,0.3624429317011678
West Bengal,Purba Medinipur,0.35004788535510584
West Bengal,Purulia,0.3519256248779886
West Bengal,Howrah,0.27549396432836326
West Bengal,Murshidabad,0.27695210121300273
West Bengal,South Dinajpur,0.4051389315419126
West Bengal,North Twenty Four Parganas,0.33075903927568917
West Bengal,Darjeeling,0.3868428603680245
West Bengal,Purba Bardhaman,0.37685698393836914
West Bengal,Bankura,0.36913048506099816
West Bengal,South Twenty Four Parganas,0.24708400507653502
