srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Haryana,Rohtak,Civil,6160,4847,2707,1132,33,0,0,14879,11169,726,1159,1825,7981,373,5088,1437,56,7,2688,2624,6194,,,0.416263441,0.078293011,0.999462366,0.00047043,1859.875,0.000672043,0.290228297,0.119704488,0.999480617,0.033962876,0.477896191
Haryana,Rohtak,Criminal,16984,12293,7467,2998,24,2,0,39768,35604,638,3002,524,21682,248,14845,2979,2426,2171,920,2349,15687,,,0.394452966,0.076039126,0.945384596,0.054590259,18.30939227,0.077986084,0.27502154,0.116258458,0.94540186,0.000334345,0.512780285
Haryana,Rohtak,Total,23144,17140,10174,4130,57,2,0,54647,46773,1364,4161,2349,29663,621,19933,4416,2482,2178,3608,4973,21881,,,0.400398917,0.076654223,0.960126629,0.039855072,25.07893529,0.056935818,0.279167191,0.117198898,0.960144161,0.000457962,0.504108312
Haryana,Sonepat,Civil,9955,7996,4692,3967,75,0,0,26685,19753,1140,1705,4087,11348,2272,10046,3019,102,3,5653,4090,11386,,,0.426665667,0.151465188,0.999850109,0.000112418,6671.25,0.000160598,0.297480965,0.231579583,0.999868367,0.121822614,0.439881974
Haryana,Sonepat,Criminal,14065,12017,7305,4464,23,0,0,37874,34474,1009,2357,34,15806,514,18526,3027,1556,1169,1270,2744,15689,,,0.414231023,0.118468647,0.969108911,0.030864686,32.37094017,0.044092409,0.288811249,0.181130201,0.969126608,0.00059112,0.481261841
Haryana,Sonepat,Total,24020,20013,11997,8431,98,0,0,64559,54227,2149,4062,4121,27154,2786,28572,6046,1658,1172,6923,6834,27075,,,0.419377323,0.132109665,0.981830855,0.018153656,55.03751066,0.025933794,0.292399366,0.201986356,0.981848784,0.001005031,0.468729072
Haryana,Panchkula,Civil,4229,3196,1849,1344,140,1,0,10759,7205,609,724,2221,4491,350,3772,2127,44,1,2289,1658,4384,,,0.407434944,0.138011152,0.999814126,9.29E-05,5379.5,0.000132767,0.284072869,0.211009313,0.999832384,0.098234177,0.450386227
Haryana,Panchkula,Criminal,8204,5313,3182,1047,23,1,0,17770,15604,664,1502,0,9030,209,6666,1855,722,545,817,1319,6701,,,0.37707501,0.060266727,0.969275786,0.030667942,32.54578755,0.043811346,0.262905235,0.092143572,0.969293486,0.000594313,0.509594006
Haryana,Panchkula,Total,12433,8509,5031,2391,163,2,0,28529,22809,1273,2226,2221,13521,559,10438,3982,766,546,3106,2977,11085,,,0.388538381,0.089589905,0.980827199,0.01913775,52.15539305,0.027339642,0.270897757,0.136976643,0.98084511,0.000952401,0.490611922
Haryana,Fatehabad,Civil,5319,3033,1696,668,17,1,0,10734,7753,1410,409,1162,3598,859,5155,1121,90,4,1886,2019,284,,,0.026455519,0.063903121,0.999534234,0.000372613,2146.8,0.000532304,0.018445387,0.097703362,0.999552486,0.039202367,0.547299279
